ரேடியோ	radio
கூரும்	koorum
முகமாக	mugamaaga
முதலாவது	muthalaavathu
குண்டு	kundu
விழுந்து	vizhunthu
கட்டத்தின்	kattaththin
கிழக்குப்	kizhakkup
பக்க	pakka
பகுதி	paguthi
நொருங்கி	norungi
ஒன்பது	onpathu
பேர்	per
பலியான	baliyaana
இடத்தில்	idaththil
அருள்கலாநிதி	arulkalaanithi
அ	a
</s>	</s>
அயர்லாந்து	ireland
ஐரிஷ்	irish
தீவுகளை	theevugalai
உள்ளடக்கியதாகும்	ulladakkiyathaagum
</s>	</s>
1932	1932
மார்ச்சு	march
11	11
இல்	il
மெஹ்பேபாயி	mehbebaai
மரணமடைந்த	maranamadaintha
ஓர்	or
ஆண்டு	aandu
கழித்து	kazhiththu
கல்வி	kalvi
ஆராய்ச்சி	aaraaychchi
பேரழிவு	perazhivu
நிவாரணம்	nivaaranam
மற்றும்	mattrum
பிற	pira
நலன்புரி	nalanpuri
நோக்கங்களுக்காக	nokkangalukkaaga
இடம்	idam
தேசியம்	thesiyam
சமயம்	samayam
போன்ற	pondra
எந்த	yentha
பாகுபாடும்	paagupaadum
காட்டாமல்	kaattaamal
பயன்படத்தக்கவாறு	payanpadaththakkavaaru
ஒரு	oru
அறக்கட்டளை	arakkattalai
நிதியை	nithiyai
தோரப்ஜி	dorabji
நிறுவினார்	niruvinaar
</s>	</s>
நாணம்	naanayam
என்பது	yenpathu
வெட்கப்படுவது	vetkappaduvathu
எனப்	yenap
பொருள்	porul
கொள்ளப்படும்	kollappadum
</s>	</s>
பெண்ணியம்	penniyam
இதழில்	ithazhil
லலிதா	lalitha
என்பவர்	yenbar
ஆசிரியராகவும்	aasiriyaraagavum
இளையராஜா	ilaiyaraaja
என்பவர்	yenbavar
பொறுப்பாசிரியராகவும்	poruppaasiriyaraagavum
நிர்மலா	nirmala
என்பவர்	yenbavar
இணை	inai
ஆசிரியராகவும்	aasiriyaraagavum
பணியாற்றினர்	paniyaattrinar
</s>	</s>
மகா	maga
மண்டபத்தில்	mandapaththil
சிவகாம	sivagama
சுந்தரி	sundari
அம்பாள்	ambaal
தனி	thani
கோபுர	gopura
விமானத்துடன்	vimanaththudan
தனிச்	thanich
சன்னிதியில்	sannnithiyil
உள்ளார்	ullaar
</s>	</s>
சீன	seena
வெண்களிப்	venkalip
பாண்டங்களைப்	paandagkalai
போல்	pol
தோன்றுவதற்காக	thondruvatharkaaga
இதன்மேல்	ithanmel
வெண்ணிற	vennira
மினுக்கப்	minukkap
பூச்சுப்	poochchup
பூசப்படுகின்றது	poosappadugirathu
</s>	</s>
ஈரான்	iran
பெர்சியா	persiyaa
முன்னர்	munnar
இறைச்சிக்காகவும்	iraichchikkaagavum
தற்போது	tharpothu
இதன்	ithan
தோற்றப்	thottrap
பொழிவிற்காகவும்	pozhivirkaagavum
வளர்க்கப்படுகிறது	valarkkappadugirathu
</s>	</s>
தொடர்	thodar
முற்றுகைகள்	muttrugaigal
கொடுப்பதால்	koduppathaal
கருப்புக்கு	karuppukku
எந்த	yentha
பலனும்	palanum
இல்லை	illai
Qf8	qf8
நகர்வின்	nagarvin
மூலம்	moolam
வெள்ளை	vellai
வெற்றிக்காக	vettrikkaaga
காத்திருக்கிறது	kaaththirukkirathu
</s>	</s>
அதை	athai
அடுத்தவருக்காக	aduththavarukkaaga
இழக்காதீா்கள்	izhakkaatheergal
</s>	</s>
1957இல்	1957il
தமது	thamathu
மரணம்	maranam
வரை	varai
இந்நிறுவனத்தை	inniruvanaththai
நடத்திச்	nadaththich
சென்றார்	sendraar
</s>	</s>
இதனை	ithanai
பல்கேரிய	palkeriya
கால்பந்து	kaalpanthu
ஒன்றியம்	ondriyam
மேலாண்மை	mellaanmai
செய்கிறது	seigirathu
</s>	</s>
இது	ithu
முதலில்	muthalil
செங்கிஸ்	sengis
கான்	khaan
வம்சாவளியினருக்கு	vamsaavaliyinarukku
மட்டுமே	mattume
வழங்கப்பட்டது	vazhangappattathu
</s>	</s>
அக்குழந்தை	akkuzhanthai
ஐந்து	iynthu
மாதங்களிலேயே	maathangalileye
இறந்தது	iranthathu
</s>	</s>
மண்ட்லா	mandala
மக்களவைத்	makkalavai
தொகுதி	thoguthi
</s>	</s>
பெண்	pen
பூனை	poonai
போன்ற	pondra
வீட்டுச்	veetuch
செல்லப்	sellap
பிராணிகளில்	praanigalil
இதைக்	ithai
காணலாம்	kaanalaam
</s>	</s>
நகைப்பொன்னின்	nagaipponnnin
நாணயப்பொன்னின்	naanayapponnnin
மாற்றைக்	maattrai
காண்பவர்	kaanbavar
வண்ணக்கன்	vannakkan
</s>	</s>
அதியர்	athiyar
கோமான்	komaan
என்று	yendru
அதியமானையும்	athiyamaanaiyum
அவன்	avan
மகன்	magan
எழினியையும்	yezhiniyaiyum
ஔவை	ovvai
போற்றுகிறார்	pottrugirraar
</s>	</s>
அப்போது	appothu
படைவீரர்கள்	padaiveerargal
தங்கள்	thangal
குடும்பத்தாருக்கு	kudumbaththaarukku
எழுதும்	yezhuthum
கடிதங்கள்	kadithangal
பிரித்தானியப்	brittaaniyap
படைத்துறையால்	padaiththuraraiyaal
தணிக்கை	thanikkai
செய்யப்பட்டு	seyyappattu
வந்தன	vanthana
அவர்கள்	avargal
எங்கு	yengu
இருக்கிறார்கள்	irukkiraargal
போர்	por
நிலை	nilai
பற்றிய	pattriya
செய்திகள்	seithigal
தணிக்கை	thanikkai
செய்யப்பட்டுவிடும்	seyyappattuvidum
</s>	</s>
முதன்முதலாக	muthanmuthalaaga
2013	2013
ஆம்	aam
ஆண்டும்	aandum
பின்னர்	pinnar
இரண்டாவது	irandaavathu
முறையாக	muraiyaaga
2015	2015
ஆம்	aam
ஆண்டும்	aandu
தில்லி	delhi
சட்டமன்ற	sattamandra
உறுப்பினராகத்	uruppinaraagath
தேர்ந்தெடுக்கப்பட்டார்	thernthedukkappattaar
</s>	</s>
வலைப்பக்கம்	valaippakkam
மீண்டும்	meendum
பெறப்பட்டவுடன்	perappattavudan
உலாவியின்	ulaaviyin
மொழிபெயர்ப்பு	mozhipeyarppu
இயந்திரம்	iyanthiram
பயனரின்	payanarin
சாதனத்தில்	saathanaththil
காண்பிக்கிறது	kaanbikkirathu
</s>	</s>
ஜாம்தாடா	jaamthaadaa
மாவட்டம்	maavattam
</s>	</s>
இத்தேர்தல்	ittherthal
மாவட்டம்	maavattam
தென்	then
மாகாணத்தின்	maagaanatthin
அம்பாந்தோட்டை	ambaanthottai
நிருவாக	nirvaaga
மாவட்டத்தை	maavattathai
மட்டும்	mattum
உள்ளடக்கிய	ulladakkiya
அலகாகும்	alagaagum
</s>	</s>
இந்த	intha
போரில்	poril
தேபேஸின்	thebesin
தாக்குதல்	thaakkuthal
சொல்லிகொள்ளும்படியாக	sollikollumpadiyaaga
இல்லை	illai
</s>	</s>
குடவாயில்	kudavaayil
கோட்டம்	kottam
</s>	</s>
இதனை	ithanai
எண்ணும்போது	yennumpothu
இந்தப்	inthap
புலவர்	pulavar
மலைய	malaiya
நாட்டவர்	nattavar
எனத்	yenath
தெருயவரும்	theruyavarum
</s>	</s>
அது	athu
மட்டும்மல்லாமல்	mattumallaamal
ஊரில்	ooril
தீ	thee
விபத்து	vibatthu
மற்றும்	matrum
ஆபத்து	aabatthu
அசம்பாவிதங்கள்	asambaavithangal
நடந்தால்	nadanthaal
உடனடியாக	udanadiyaaga
ஆலயமணி	aalayamani
ஒலிக்கப்படுகிறது	olikkappadugirathu
</s>	</s>
கேசவர்	kesvar
தமது	thamathu
கருத்தை	karththai
ஏற்போருடன்	yerporudan
இணைந்து	inainthu
இந்திய	inthiya
பிரம்ம	bramma
சமாஜத்தைத்	samajththai
தோற்றுவித்தார்	thottruviththaar
</s>	</s>
இம்முறையில்	immuraiyil
நீர்-வாயுவில்	neer-vaayuvil
இருக்கும்	irukkum
ஒரு	oru
ஐதரசன்	itharasan
மற்றும்	mattrum
கார்பன்	carbon
டை	di
ஆக்சைடு	oxide
ஆகியவை	aagiyavai
நீக்கப்பட்டு	neekkappattu
ஐதரசன்	itharasan
தயாரிக்கப்படுகிறது	thayaarikkappadugirathu
</s>	</s>
முப்பது	muppathu
ஆண்டுகளாக	aandugalaaga
அரசின்	arasin
பல	pala
பொறுப்புகளில்	poruppugalil
பணியாற்றி	paniyaattri
வருகிறவர்	varugiravar
</s>	</s>
2003ஆம்	2003am
ஆண்டு	aandu
நவம்பர்	november
ஐந்தாம்	iynthaam
நாள்	naal
நியூயார்க்	newyork
நகரத்தில்	nagaraththil
ஒரு	oru
யூத	yutha
மாநாட்டில்	maanattil
அண்மைக்	anmaik
காலமாக	kaalamaaga
யூத	yutha
எதிர்ப்புப்	yethirppup
போக்கு	pokku
உயிர்த்தெழுந்திருப்பதற்கு	uyirththezhunthiruppatharku
இஸ்ரேல்	isrel
மற்றும்	mattrum
ஐக்கிய	ikkiya
மாநிலங்களின்	maanilangalin
கொள்கைகள்	kolgaigal
மற்றும்	mattrum
தம்மைப்	thamaip
போன்ற	pondra
வெற்றிகரமான	vettrigaramaana
யூதர்கள்	yuthargal
ஓரளவு	oralavu
காரணம்	kaaranam
என்று	yendru
சொரெஸ்	sores
உரைத்தார்	uraiththaar
</s>	</s>
மைதா	maitha
மத்திய	mathiya
ஆசிய	aasiya
மற்றும்	mattrum
தென்கிழக்கு	thenkizhakku
ஆசியவில்	aasiyaavil
உணவாகப்	unavaagap
பயன்படுத்தப்படுகிறது	payanpaduththappadugirathu
</s>	</s>
தமிழ்நாட்டில்	tamizhnaattil
இருந்தும்	irunthum
பெரும்	perum
எண்ணிக்கையிலான	ennikkaiyilaana
தொழிலாளர்	thozhilaalar
மலாயா	malaya
இலங்கை	ilangai
மொரீசியசு	morisius
போன்ற	pondra
நாடுகளுக்குக்	naadugalukku
கூட்டிச்	koottich
செல்லப்பட்டனர்	chellappattanar
</s>	</s>
அரசாளும்	arasaalum
தகுதி	thaguthi
யாருக்கு	yaarukku
</s>	</s>
சுதந்திரமாக	suthanthiramaaga
வாக்குரிமை	vaakkurimai
அளிக்கும்	alikkum
உரிமை	urimai
பெறுவது	peruvathu
என்பது	yenbathu
அமெரிக்க	amerikka
மனித	manitha
உரிமை	urimai
இயக்கத்தின்	iyakkaththin
ஒரு	oru
பெரும்	perum
இலக்காக	ilakkaaga
இருந்தது	irundadhu
</s>	</s>
மேலும்	melum
மகாத்மா	magatma
காந்தி	gandhi
தேசிய	thesiya
ஊரக	ooraga
வேலை	velai
உறுதியளிப்புச்	uruthiyalippuch
சட்டம்	chattam
என்னும்	ennum
</s>	</s>
ராமநாதன்	ramanathan
மற்றும்	mattrum
ஈரோடு	erode
ராமுவுடன்	ramuvudan
ஐரோப்பிய	iropiya
நாடுகளுக்குப்	naadugalukkup
பயணம்	payanam
மேற்கொண்டார்	merkondaar
</s>	</s>
காலங்கடந்த	kaalangkadantha
நடவு	nadavu
முறைக்கு	muraikkum
ஏற்ற	yettra
நெல்	nel
வகையாகும்	vagaiyaagum
</s>	</s>
இதன்	ithan
கதிரியக்க	kathiriyakka
மற்றும்	mattrum
இரசாயன	rasaayana
வினைத்திறன்	vinaiththiran
காரணமாக	kaaranamaga
உயிர்	uyir
வேதியியல்	vethiyiyal
செயல்முறைகளில்	seyalmuraigalil
இணைந்திருக்கும்போது	inainthirukkumpothu
ஆரோக்கியத்திற்கு	aarokkiyaththirku
பாதகமான	paathagamaana
விளைவுகள்	vilaivugal
ஏற்படலாம்	yerpadalaam
</s>	</s>
சேக்ரமெண்டோ	sekramento
கிங்ஸ்	kings
</s>	</s>
அடிமறிமண்டில	adimarimandila
ஆசிரியப்பா	aasiriyappaa
-	-
எல்லா	ellaa
அடிகளும்	adigalum
பொருள்	porul
முற்றிய	mutriya
நாற்சீர்	naarseer
அடிகளாய்	adigalaai
இருக்கும்	irukkum
</s>	</s>
மருத்துவ	marutthuva
அறிவுரைகளின்படி	arivuraigalinpadi
இதனிலிருந்து	ithanilirunthu
விடுபட	vidupada
ஒருவர்	oruvar
கடக்கும்	kadakkum
ஒவ்வொரு	ovvoru
நேர	nera
வலயத்திற்கும்	valayatthirkum
ஒருநாள்	orunaal
எடுக்கலாம்	edukkalaam
</s>	</s>
வினா-விடை	vina-vidai
வேட்டை	vettai
</s>	</s>
இத்தகைய	itthaigaiya
கொழுப்பு	kozhuppu
தசைத்திசுக்களுடன்	thasaiththisukkaludan
கூடிய	koodiya
நீர்ம	neerma
இழப்பு	izhappu
கெகேக்சியா	kekeksiya
எனப்படும்	enappadum
உயிர்கொல்லி	uyirkolli
நோய்க்கு	noikku
வழி	vazhi
வகுக்கலாம்	vagukkalaam
</s>	</s>
இதன்	ithan
கண்கள்	kangal
செந்நிறமாயும்	senniramaayum
சொண்டு	sondu
கருமையாயும்	karumaiyaayum
இருப்பதுடன்	iruppathudan
வால்	vaal
நன்கு	nangu
நீளமாயும்	neelamaayum
மார்பின்	maarbin
மேற்புறமாயும்	merpuramaayum
கழுத்திலும்	kazhuththilum
காணப்படும்	kaanappadum
இறகுகள்	iragugal
நீண்டு	neenda
வளர்ந்தும்	valarnthum
காணப்படும்	kaanappadum
</s>	</s>
இது	ithu
அமெரிக்கா	amerikkaa
மற்றும்	mattrum
முற்போக்கு	murpokku
ஊடகத்திற்கான	oodagaththirkaana
நிதி	nithi
என்னும்	yennum
குழுவின்	kuzhuvin
வழியாகச்	vazhiyaagach
செய்யப்படும்	seyyappadum
என்று	yendru
அவர்	avar
கூறினார்	koorinaar
</s>	</s>
6.7	6.7
சதுர	sathura
கிலோமீட்டர்	kilometer
பரப்பளவும்	parappalavum
முற்றிலுமாக	muttrilumaaga
எரிந்து	yerinthu
சாம்பலாகின	saambalaagina
</s>	</s>
எம்	m
மகளிர்	magalir
உயர்தரப்	uyartharap
பாடசாலையிலும்	paadasaalaiyilum
உயர்நிலைக்	uyarnilaik
கல்வியை	kalviyai
மட்	mat
வின்ஸ்டன்	vinsten
மகளிர்	magalir
கல்லூரியிலும்	kallooriyilum
பெற்றார்	pettraar
</s>	</s>
டையசோனியம்	dizoniyam
உப்புக்கள்	uppukkal
பெரும்பாலும்	perumpaalum
அறை	arai
வெப்பநிலையின்	veppanilaiyin
அருகே	aruge
நிலைத்தன்மையற்றவை	nilaththanmaiyattravai
என்பதால்	yenbathaal
அசோ	aso
இணைப்பு	inaippu
வினைகள்	vinaigal
பொதுவாக	pothuvaaga
பனிக்கட்டியின்	panikkattiyin
வெப்பநிலைக்கு	veppanilaikku
அருகில்	arugil
நடத்தப்படுகின்றன	nadaththappaduginrana
</s>	</s>
பிறப்புறுப்பில்	pirappurippil
நீர்ப்பாய்ச்சுதல்	neerppaaichuthal
கூட	kooda
சில	sila
நேரங்களில்	nerangalil
இதன்	ithan
ஆபத்தை	aabatthai
அதிகரிக்கிறது	athikarikkirathu
</s>	</s>
சிவஞான	sivagana
போத	potha
ஆராய்ச்சி	aaraaychchi
</s>	</s>
தமிழர்	thamizhar
புலமை	pulamai
மரபு	marapu
ஏற்றமும்	yetramum
இறக்கமும்	irakkamum
-	-
பேராசிரியர்	peraasiriyar
கி.நாச்சிமுத்து	ki.nachimutthu
</s>	</s>
பெத்தகுரபலபள்ளி	peththkurapalapalli
</s>	</s>
பூலோகத்திற்கு	boologaththirku
வந்தபோது	vanthapothu
அங்கு	angu
ஏற்பட்ட	yerpatta
பீரங்கி	beerangi
ஒலியைக்	oliyaik
கேட்டு	kettu
நடுநடுங்கி	nadunadungi
குமரனின்	kumaranin
கால்களில்	kaalgalil
சரணடைந்து	saranadainthu
காப்பாற்ற	kaappaattra
வேண்டினர்	vendinar
</s>	</s>
மரங்களிலிருந்து	marangalilirundu
பெறப்படும்	perappadum
இதர	ithara
பொருட்கள்	porutkal
சில	sila
நேரங்களில்	nerangalil
கற்பூரம்	karpooram
எனத்	yenth
தவறாக	thavaraaga
விற்கப்படுகின்றன	virkappadukindrana
</s>	</s>
நீரில்	neeril
வாழும்	vaazhum
நண்டுகள்	naadugal
குட்டி	kutty
ஆமைகளை	aamaigalai
உண்கின்றன	unkindrana
</s>	</s>
மக்கள்	makkal
காடுகளிலுள்ள	kaadugalilulla
மரங்களை	marangalai
வெட்டுவதாலும்	vettuvathaalum
காட்டுப்பகுதிகளை	kaattuppaguthigalai
வேளாண்மைக்கும்	velaanmaikkum
மற்ற	mattra
தேவைகளுக்கும்	thevaigalukkum
பயன்படுத்துவதாலும்	payapaduththuvathaalum
யானைகளின்	yaanaigalin
இருப்பிடமான	iruppidamaana
காடுகளின்	kaadugalin
அளவு	alavu
குறைகிறது	kuraigirathu
</s>	</s>
நாசிக்	nasik
</s>	</s>
அமவுர்	amavur
சட்டமன்றத்	sattamandrath
தொகுதி	thoguthi
பீகாரின்	bihaarin
சட்டமன்றத்திற்கான	sattamandraththirkaana
243	243
தொகுதிகளில்	thoguthigalil
ஒன்று	ondru
இது	ithu
கிசன்கஞ்சு	kisankanju
மக்களவைத்	makkalavaith
தொகுதிக்கு	thoguthikku
உட்பட்டது	utpattathu
</s>	</s>
அஜில்	ajil
மென்பொருள்	menporul
விருத்தி	viruththi
என்பது	yenbathu
பல	pala
தரப்பட்ட	tharappatta
கூறுகளைக்	koorugalai
கொண்டது	kondathu
</s>	</s>
புசானின்	pusanin
அறுதித்	aruthith
தெற்கணியாக	therkaniyaaga
அமெரிக்கப்	amerikkap
படையான	padaiyaana
25	25
ஆம்	aam
காலாட்படையணி	kaalaatpadaiyani
தன்	than
அணிவகுப்பை	anivaguppai
தென்கொரியத்	thenkoriyath
தலைனகரான	thalainagaraana
மாசானைச்	maasaanaich
சுற்றி	suttri
நிறுத்தியது	niruththiyathu
</s>	</s>
மூளை	moolai
வேதியியல்	vethiyiyal
மாறுபாட்டுத்	maarupaattuth
தேவைக்காக	thevaikkaaga
விளையாடுவதாக	vilaiyaaduvathaaga
போலிக்கருத்து	polikkaruththu
கொள்வது	kolvathu
போன்றவை	pondravai
ஆகும்	aagum
</s>	</s>
தவிரவும்	thaviravum
உலகின்	ulagin
மிக	miga
விரைவாக	viraivaaga
வளரும்	valarum
நுகர்வோர்	nugarvor
சந்தையாகவும்	santhaiyaagavum
இரண்டாம்	irandaam
நிலையிலுள்ள	nilaiyilulla
இறக்குமதியாளராகவும்	irakkumathiyaalaraagavum
சீனா	seena
விளங்குகின்றது	vilanguginrathu
</s>	</s>
1937	1937
ஆம்	aam
ஆண்டிற்குப்	aandirkup
பிறகு	piragu
இந்தி	hindi
எதிர்ப்பு	yethippu
போராட்டத்தின்	poraattaththin
விளைவாக	vilaivaaga
திராவிட	dravida
இயக்கத்திற்கு	iyakkaththirku
கணிசமான	kanisamaana
மாணவர்களின்	maanavargalin
ஆதரவு	aatharavu
கிட்டியது	kittiyathu
</s>	</s>
இதனைக்	ithanai
கட்டி	katti
முடிக்க	mudikka
இரண்டரை	irandarai
ஆண்டுகள்	aandugal
தேவைப்பட்டது	thvaippattathu
</s>	</s>
போர்ட்டோ	portto
</s>	</s>
பெரும்பாலும்	perumpaalum
பல்வேறுபட்ட	palverupatta
பல	pala
பாக்டீரியாக்கள்	bacteriayakkal
இதில்	ithil
பங்குகொள்கின்றன	pangukolkindrana
</s>	</s>
ஆல்யா	aaalyaa
மானசாஹர்ஷா	maanasaharsha
ராஜ்	raj
</s>	</s>
முதல்	muthal
கட்டமாக	kattamaaga
சிலையினையும்	silaiyinaiyum
நிலப்பகுதியையும்	nilappaguthiyaiyum
இணைக்கும்	inaikkim
பாலம்	paalam
நினைவுச்சின்னம்	ninaivuchchinnam
பார்வையாளர்	paarvaiyaalar
மையம்	maiyam
நினைவுப்பூங்கா	ninaivuppoonga
உணவு	unavu
விடுதி	viduthi
ஆய்வு	aayvu
மையங்கள்	maiyangal
உள்ளிட்டவைகள்	ullittavaigal
கட்டப்படவுள்ளன	kattappadavullana
</s>	</s>
இதனை	ithanai
ஆராய்வதின்	aaraaivathin
மூலம்	moolam
நிலவின்	nilavin
பிறப்பு	pirappu
உள்கட்டமைப்பு	ulkattamaippu
போன்றவற்றை	pondravatrai
அறிந்து	arinthu
கொள்ளவும்	kollavum
</s>	</s>
விசையாழி	visaiyaazhu
அழுத்த	azhuttha
விகிதம்	vigitham
என்பது	enbathu
இன்	in
செயல்பாடும்	seyalpaadum
விசையாழி	visaiyaazhi
செயல்திறனுமாகும்	seyalthiranumaagum
</s>	</s>
சாலைகள்	salaigal
நீர்	neer
வழங்கல்	vazhangal
சாக்கடைகள்	saakkadaigal
மின்ஆற்றல்	minaattral
தொகுதிகள்	thoguthigal
தொலைத்தொடர்புகள்	tholaiththodarbugal
மற்றும்	mattrum
இது	ithu
போன்று	pondra
சமூகத்துக்கு	samoogaththukku
உதவிபுரியும்	uthavipuriyum
தொழில்திறனுடைய	thozhithiranudaiya
கட்டமைப்புகளையே	kattamaippugalaiye
இந்தச்	inthach
சொல்	sol
எடுத்துக்காட்டாகக்	yeduththukkattagak
குறிப்பிடுகிறது	kurippidugirathu
</s>	</s>
மேலும்	melum
அந்நகரில்	annagaril
நடைபெற்ற	nadaipetra
பல	pala
விளையாட்டு	vilaiyaattu
நிகழ்ச்சிகளில்	nigazchigalil
மரியாதைக்குரிய	mariyaathaikkuriya
விருந்தினராகக்	virunthinaraagak
கலந்து	kalanthu
கொண்டார்	kondaar
</s>	</s>
பரிவர்த்தனைப்	parivarththanaip
பற்றுப்	pattrup
பத்திரம்	paththiram
அல்லாது	allaathu
மூலப்பிரதி	moolapprathi
கொடுப்பவரால்	koduppavaraal
பெறுபவ	perubavar
ர்க்கு	rkku
எழுதப்படும்	yezhuthappadum
ஆணை	aanai
பணத்தை	panaththai
பெறுபவரு	perubavaru
க்கு	kku
கொடுக்க	kodukka
எழுதப்படுவதாகும்	yezhuthappaduvathaagum
</s>	</s>
பாய்ஸ்	boys
ஓவர்	over
பிளவர்ஸ்	flowers
</s>	</s>
செம்பருத்தி	chembaruththi
பூ	poo
வெட்டைச்	vettaich
சூடு	soodu
நீங்கத்	neengath
தினமும்	thinamum
காலையில்	kalaiyil
வெறும்	verum
வயிற்றில்	vayittril
சுத்தம்	suththam
செய்யப்பட்ட	seyyappatta
பூவைச்	poovai
சாப்பிட்டு	saappittu
வரலாம்	varalaam
</s>	</s>
செங்குருதிக்	senguruthik
கலங்க்ளின்	kalangalin
புத்தாக்கம்	puththaakkam
</s>	</s>
வழியில்	yazhiyil
அவர்	avar
கி	ki
</s>	</s>
உன்னிமேனன்	unnimenon
ஓர்	or
தென்னிந்திய	thenninthiya
திரைப்படப்	thiraippadap
பாடகர்	paadagar
</s>	</s>
புழுக்குடை	puzhukkudai
நோலையும்	nolaiyum
விழுக்குடை	vizhukkudai
மடையும்	madaiyum
சிலப்பதிகாரம்	silappathigaaram
வேட்டுவ	vettuva
வரி	vari
37	37
</s>	</s>
இவை	ivai
அலைகற்றைகளில்	alaikarraigalil
கண்ணிற்கு	kannnirku
புலப்படும்	pulappadum
ஒளிவீச்சத்திற்குள்	oliveechchaththirkul
உள்ள	ulla
மீடிறன்	meediran
மூலம்	moolam
செயல்படுகின்றது	seyalpadukinrathu
</s>	</s>
மரபுப்படி	marabuppadi
இவர்	ivar
இறந்ததாக	iranthathaaga
நம்பப்படும்	nambappadum
இடத்தில்	idatthil
முதலாம்	muthalaam
கான்ஸ்டன்டைன்	constantine
மன்னர்	mannar
ஒரு	oru
சிற்றாலயம்	sitraalayam
அமைத்தார்	amaitthaar
</s>	</s>
பார்சல்	parcel
முன்பதிவு	munpathivu
அலுவலகம்	aluvalagam
ரயில்வே	railway
அஞ்சல்	anjal
சேவை	sevai
ஆர்.எம்.எஸ்	r.m.s
ஆகியவை	aagiyavari
இருக்கின்றன	irukkindrana
</s>	</s>
கண்ணர்காடு	kannarkaadu
</s>	</s>
தற்காலிக	tharkaaliga
குறிப்பான்கள்	kurippaangal
என்பவை	enbavai
எளிதாக	elithaaga
அழியக்கூடிய	azhiyakkoodiya
மையைக்	maiyaik
கொண்டவை	kondavai
ஆகும்	aagum
</s>	</s>
இந்தியாவில்	indhiyaavil
இந்திய	indhiya
விடுதலைப்	viduthalaip
போராட்டத்தின்	poraattaththin
போது	pothu
நடந்த	nadantha
தலித்திய	thaliththiya
இயக்கமும்	iyakkamum
தீண்டப்படாதவர்களை	theendappadaathavargalai
சமூகத்தின்	samoogaththin
அங்கமாக	angamaaga
ஏற்றல்	yettral
தமிழகத்தில்	thamizhagaththil
தந்தை	thanthai
பெரியார்	periyaar
தலைமையேற்ற	thalaimaiyettra
திராவிட	draavida
இயக்கமும்	iyakkamum
கடவுள்	kadavul
கட்டமைப்பு	kattamaippu
மூடநம்பிக்கைகள்	moodanambikkaigal
ஆணாதிக்கம்	aanaathikkam
எதிராக	yethiraaga
எதிர்	yethir
பண்பாடுகளாக	panpaadugalaaga
அமைந்தன	amainthana
</s>	</s>
பாலேஸ்வரி	baleshwari
கோகிலம்	kokilam
சுப்பையா	subaiya
கே	k
</s>	</s>
சிறுகதைத்	sirukathai
தொகுப்புகள்	thoguppigal
</s>	</s>
இருப்பினும்	iruppinum
21	21
முதல்தர	muthalthara
துடுப்பாட்டப்	thuduppaattap
போட்டிகளிலும்	pottigalilum
ஒரு	oru
ஏ-தர	a-thara
துடுப்பாட்டப்	thuduppaattap
போட்டியிலும்	pottiyilum
கலந்து	kalanthu
கொண்டுள்ளார்	kondullaar
</s>	</s>
தத்துவமசி	thatthuvamasi
என்ற	endra
மகாவாக்கியத்திற்கு	magaavaakkiyatthirku
பேதா	pethaa
அபேதம்	abetham
துவைதாத்வைதம்	thuvaithaathvaitham
கொள்கைப்படி	kolgaippadi
விளக்கம்	vilakkam
அளித்துள்ளார்	alitthullaar
</s>	</s>
இவை	ivai
துணை	thunai
மூச்சுயிர்க்கும்	moochuyirkkum
பரப்பாகத்	parappaagath
தோலைப்	tholai
பயன்படுத்துகின்றன	payanpaduththugindrana
</s>	</s>
லக்னோ	lakno
பாளையம்	paalaiyam
சட்டமன்றத்	sattamandrath
தொகுதி	thoguthy
உத்தரப்	uththrap
பிரதேச	pradesa
சட்டமன்றத்திற்கான	sattamandraththirkaana
403	403
தொகுதிகளில்	thoguthigalil
ஒன்று	ondru
இது	ithu
லக்னோ	lakno
மக்களவைத்	makkalavaith
தொகுதிக்கு	thoguthikku
உட்பட்டது	utpattathu
</s>	</s>
தேவகியும்	devakiyum
பிரபாக்கரும்	prabakarum
இணைந்து	inainthu
ஆளவந்தாரைக்	aalavanthaaraik
கொலை	kolai
செய்ய	seiya
முடிவு	mudivu
செய்தனர்	seithanar
</s>	</s>
இதழாசிரியராக	ithaazhaasiriyaraaga
இருந்தவர்	irundhavar
</s>	</s>
சிலசமயம்	silasamayam
பஹாமாஸில்	bahaamaasil
பிமினி	bimini
தீவில்	theevil
உள்ள	ulla
பிமினி	bimini
பாதை	paathai
என்று	yendru
அழைக்கப்படும்	azaikkappadum
கடலுக்கடியிலான	kadalukkadiyilaana
பாறை	paarai
உருவாக்கம்	uruvakkam
அட்லாண்டிஸ்	atlaantis
கதையுடன்	kathaiyudan
தொடர்புபடுத்திக்	thodarbupaduththik
கூறப்படுகிறது	kooraoppadugirathu
</s>	</s>
தற்காலத்தில்	tharkaalatthil
மணம்	manam
முடிக்காமல்	mudikkaamal
புத்த	buddha
சமயத்துக்காக	samayatthukkaaka
முழுநேரம்	muzhuneram
உழைக்கும்	uzhaikkum
ஒருவரே	oruvare
அனகாரிக	anagaariga
என	ena
அழைக்கப்படுகிறார்	azhaikkappadugiraar
</s>	</s>
முதலாம்	muthalaam
உலகப்	ulagap
போரின்	porin
போது	pothu
ஜெர்மானிய	germaniya
போர்க்கப்பல்	porkkappal
எம்டன்	empten
சென்னை	chennai
மீது	meethu
குண்டு	kundu
வீசி	veesi
